type,value,package,tolerance,rating,stock_type,lcsc,mpn,description
IC,AO3400A,SOT-23,,,basic,C20917,AO3400A,N-Ch 30V 5.7A
IC,AO3402,SOT-23,,,basic,C181082,AO3402,N-Ch 30V 4A
IC,BSS138,SOT-23,,,basic,C3665,BSS138,N-Ch 50V 200mA Logic Level
IC,IRLML2502,SOT-23,,,basic,C144339,IRLML2502,N-Ch 20V 4.2A Logic Level
IC,IRLML6344,SOT-23,,,basic,C92478,IRLML6344,N-Ch 30V 5A Logic Level
IC,NCE3400K,TO-252,,,basic,C82063,NCE3400K,N-Ch 30V 10A TO-252
IC,IRFZ44N,TO-220,,,basic,C6418,IRFZ44N,N-Ch 55V 49A
IC,IRF540N,TO-220,,,basic,C4499,IRF540N,N-Ch 100V 33A
IC,IRLZ44N,TO-220,,,basic,C6420,IRLZ44N,N-Ch 55V 41A Logic Level
# P-Channel MOSFETs,,,,,,,,
IC,SI2301,SOT-23,,,basic,C10492,SI2301,P-Ch -20V -2.3A
IC,AO3401A,SOT-23,,,basic,C15127,AO3401A,P-Ch -30V -4A
IC,BSS84,SOT-23,,,basic,C18253,BSS84,P-Ch -50V -130mA
IC,IRLML6402,SOT-23,,,basic,C139549,IRLML6402,P-Ch -20V -3.7A Logic Level
IC,DMP3099L,SOT-23,,,basic,C132310,DMP3099L,P-Ch -30V -3A
IC,IRF9540N,TO-220,,,basic,C6421,IRF9540N,P-Ch -100V -23A
# NPN Transistors,,,,,,,,
IC,MMBT3904,SOT-23,,,basic,C20526,MMBT3904,NPN 40V 200mA General Purpose
IC,2N3904,TO-92,,,basic,C181093,2N3904,NPN 40V 200mA General Purpose
IC,S8050,SOT-23,,,basic,C2146,S8050,NPN 25V 500mA
IC,S9013,SOT-23,,,basic,C6749,S9013,NPN 25V 500mA
IC,BC847,SOT-23,,,basic,C8574,BC847,NPN 45V 100mA
IC,BC817,SOT-23,,,basic,C8586,BC817,NPN 45V 500mA
IC,2N2222A,TO-92,,,basic,C358533,2N2222A,NPN 40V 600mA
IC,TIP31C,TO-220,,,basic,C9057,TIP31C,NPN 100V 3A Power
# PNP Transistors,,,,,,,,
IC,MMBT3906,SOT-23,,,basic,C20527,MMBT3906,PNP -40V -200mA General Purpose
IC,2N3906,TO-92,,,basic,C181094,2N3906,PNP -40V -200mA General Purpose
IC,S8550,SOT-23,,,basic,C17313,S8550,PNP -25V -500mA
IC,S9012,SOT-23,,,basic,C6750,S9012,PNP -25V -500mA
IC,BC857,SOT-23,,,basic,C8602,BC857,PNP -45V -100mA
IC,BC807,SOT-23,,,basic,C8580,BC807,PNP -45V -500mA
IC,TIP32C,TO-220,,,basic,C9065,TIP32C,PNP -100V -3A Power
# Timers and References,,,,,,,,
IC,NE555,SOP-8,,,basic,C7524,NE555DR,555 Timer
IC,LMC555,SOP-8,,,basic,C127337,LMC555DR,CMOS 555 Timer Low Power
IC,TL431,SOT-23,,,basic,C2999,TL431,Adjustable Voltage Reference
IC,LM385,SOT-23,,,basic,C87218,LM385,1.235V Micropower Reference
IC,LM4040-2.5,SOT-23,,,basic,C460720,LM4040-2.5,2.5V Precision Reference
# Logic ICs,,,,,,,,
IC,74HC595,SOP-16,,,basic,C5948,SN74HC595DR,Shift Register 8-bit
IC,74HC165,SOP-16,,,basic,C5614,SN74HC165DR,Parallel-to-Serial 8-bit
IC,74HC245,SOP-20,,,basic,C5935,SN74HC245DR,Octal Bus Transceiver
IC,74HC04,SOP-14,,,basic,C5952,SN74HC04DR,Hex Inverter
IC,74HC14,SOP-14,,,basic,C5953,SN74HC14DR,Hex Schmitt Trigger Inverter
IC,74HC00,SOP-14,,,basic,C5954,SN74HC00DR,Quad 2-Input NAND
IC,74HC32,SOP-14,,,basic,C5955,SN74HC32DR,Quad 2-Input OR
IC,74HC08,SOP-14,,,basic,C5956,SN74HC08DR,Quad 2-Input AND
# Interface ICs,,,,,,,,
IC,CH340C,SOP-16,,,basic,C84681,CH340C,USB to UART
IC,CH340G,SOP-16,,,basic,C14267,CH340G,USB to UART Crystal
IC,CP2102,QFN-28,,,extended,C6568,CP2102,USB to UART Silicon Labs
IC,MAX232,SOP-16,,,basic,C6539,MAX232,RS-232 Transceiver
IC,SP3485,SOP-8,,,basic,C9981,SP3485,RS-485 Transceiver 3.3V
IC,MAX485,SOP-8,,,basic,C6540,MAX485,RS-485 Transceiver 5V
# Memory ICs,,,,,,,,
IC,W25Q64JVSIQ,SOP-8,,,basic,C179171,W25Q64JVSIQ,64Mbit SPI Flash
IC,W25Q128JVSIQ,SOP-8,,,basic,C97521,W25Q128JVSIQ,128Mbit SPI Flash
IC,W25Q32JVSIQ,SOP-8,,,basic,C571134,W25Q32JVSIQ,32Mbit SPI Flash
IC,24C02,SOP-8,,,basic,C64719,24C02,2Kbit I2C EEPROM
IC,24C64,SOP-8,,,basic,C6892,24C64,64Kbit I2C EEPROM
IC,24C128,SOP-8,,,basic,C46234,24C128,128Kbit I2C EEPROM
IC,24C256,SOP-8,,,basic,C6891,24C256,256Kbit I2C EEPROM
