type,value,package,tolerance,rating,stock_type,lcsc,mpn,description
C,10nF,0603,10%,50V,basic,C57112,CL10B103KNNNNC,10nF 0603 50V
C,10nF,0805,10%,50V,basic,C1711,CL21B103KNNNNC,10nF 0805 50V
C,15nF,0402,10%,16V,basic,C81119,CL05B153KONNNC,15nF 0402 16V
C,15nF,0603,10%,50V,basic,C14210,CL10B153KNNNNC,15nF 0603 50V
C,22nF,0402,10%,16V,basic,C1531,CL05B223KONNNC,22nF 0402 16V
C,22nF,0603,10%,50V,basic,C14212,CL10B223KNNNNC,22nF 0603 50V
C,33nF,0402,10%,16V,basic,C1532,CL05B333KONNNC,33nF 0402 16V
C,33nF,0603,10%,50V,basic,C14217,CL10B333KNNNNC,33nF 0603 50V
C,47nF,0402,10%,16V,basic,C1533,CL05B473KONNNC,47nF 0402 16V
C,47nF,0603,10%,25V,basic,C14226,CL10B473KANNNC,47nF 0603 25V
C,68nF,0402,10%,16V,basic,C1534,CL05B683KONNNC,68nF 0402 16V
C,68nF,0603,10%,25V,basic,C14232,CL10B683KANNNC,68nF 0603 25V
C,100nF,0402,10%,16V,basic,C1525,CL05B104KONNNC,100nF 0402 16V
C,100nF,0603,10%,25V,basic,C14663,CL10B104KANNNC,100nF 0603 25V
C,100nF,0805,10%,50V,basic,C49678,CL21B104KNNNNC,100nF 0805 50V
C,100nF,1206,10%,50V,basic,C24497,CL31B104KNNNNC,100nF 1206 50V
C,150nF,0402,10%,16V,basic,C1529,CL05B154KONNNC,150nF 0402 16V
C,150nF,0603,10%,25V,basic,C14672,CL10B154KANNNC,150nF 0603 25V
C,220nF,0402,10%,16V,basic,C1530,CL05B224KONNNC,220nF 0402 16V
C,220nF,0603,10%,25V,basic,C14679,CL10B224KANNNC,220nF 0603 25V
C,330nF,0603,10%,16V,basic,C1614,CL10B334KONNNC,330nF 0603 16V
C,470nF,0603,10%,16V,basic,C1620,CL10B474KONNNC,470nF 0603 16V
C,680nF,0603,10%,10V,basic,C26379,CL10B684KPNNNC,680nF 0603 10V
C,1uF,0402,10%,16V,basic,C52923,CL05B105KONNNC,1uF 0402 16V
C,1uF,0603,10%,25V,basic,C15849,CL10B105KANNNC,1uF 0603 25V
C,1uF,0805,10%,25V,basic,C28323,CL21B105KANNNC,1uF 0805 25V
C,1uF,1206,10%,50V,basic,C13912,CL31B105KNNNNC,1uF 1206 50V
C,2.2uF,0402,10%,10V,basic,C12530,CL05B225KPNNNC,2.2uF 0402 10V
C,2.2uF,0603,10%,16V,basic,C23630,CL10B225KONNNC,2.2uF 0603 16V
C,2.2uF,0805,10%,25V,basic,C49217,CL21B225KANNNC,2.2uF 0805 25V
C,4.7uF,0603,10%,16V,basic,C19666,CL10B475KONNNC,4.7uF 0603 16V
C,4.7uF,0805,10%,25V,basic,C1779,CL21B475KANNNC,4.7uF 0805 25V
C,4.7uF,1206,10%,50V,basic,C29823,CL31B475KNNNNC,4.7uF 1206 50V
C,10uF,0603,10%,10V,basic,C19702,CL10B106KPNNNC,10uF 0603 10V
C,10uF,0805,10%,16V,basic,C15850,CL21B106KONNNC,10uF 0805 16V
C,10uF,1206,10%,25V,basic,C13585,CL31B106KANNNC,10uF 1206 25V
C,22uF,0805,10%,10V,basic,C45783,CL21B226KPNNNC,22uF 0805 10V
C,22uF,1206,10%,16V,basic,C5672,CL31B226KONNNC,22uF 1206 16V
C,47uF,1206,20%,10V,basic,C76636,CL31B476KPNNNC,47uF 1206 10V
C,100uF,1206,20%,10V,basic,C86126,CL31B107KPNNNC,100uF 1206 10V
